ID,Time (s),Entity,Type/Dir,Inter-Arrival (s),Service Time (s)
727,3636.0,WB Vehicles,WB,10.4,-
728,3642.0,Crossers,Crosser,20.9,8.1
729,3657.4,EB Vehicles,EB,21.9,-
730,3683.3,Posers,Poser,91.1,6.4
731,3698.6,Posers,Poser,15.3,9.4
732,3699.2,WB Vehicles,WB,63.2,-
733,3701.8,EB Vehicles,EB,44.4,-
734,3707.7,EB Vehicles,EB,5.9,-
735,3713.5,EB Vehicles,EB,5.8,-
736,3715.8,Posers,Poser,17.2,7.7
737,3724.6,Posers,Poser,8.8,10.2
738,3732.7,EB Vehicles,EB,19.2,-
739,3736.1,EB Vehicles,EB,3.4,-
740,3738.4,Crossers,Crosser,96.4,2.1
741,3754.4,Posers,Poser,29.8,11.7
742,3766.9,WB Vehicles,WB,67.7,-
743,3769.5,WB Vehicles,WB,2.6,-
744,3772.5,WB Vehicles,WB,3.0,-
745,3774.6,WB Vehicles,WB,2.1,-
746,3778.4,WB Vehicles,WB,3.8,-
747,3782.9,WB Vehicles,WB,4.5,-
748,3788.7,WB Vehicles,WB,5.8,-
749,3792.5,WB Vehicles,WB,3.8,-
750,3796.7,EB Vehicles,EB,60.6,-
751,3797.5,Posers,Poser,43.1,13.2
752,3800.7,WB Vehicles,WB,8.2,-
753,3816.6,EB Vehicles,EB,19.9,-
754,3821.4,WB Vehicles,WB,20.7,-
755,3823.5,Crossers,Crosser,85.1,6.3
756,3829.9,WB Vehicles,WB,8.5,-
757,3830.8,Posers,Poser,33.3,14.4
758,3846.9,Posers,Poser,16.1,7.5
759,3862.7,Posers,Poser,15.8,13.3
760,3876.7,EB Vehicles,EB,60.1,-
761,3881.8,Crossers,Crosser,58.3,5.6
762,3888.5,Posers,Poser,25.8,3.9
763,3893.5,Crossers,Crosser,11.7,9.8
764,3894.3,EB Vehicles,EB,17.6,-
765,3906.2,EB Vehicles,EB,11.9,-
766,3908.8,EB Vehicles,EB,2.6,-
767,3912.0,EB Vehicles,EB,3.2,-
768,3920.1,Posers,Poser,31.6,11.0
769,3932.0,EB Vehicles,EB,20.0,-
770,3936.3,WB Vehicles,WB,106.4,-
771,3941.3,WB Vehicles,WB,5.0,-
772,3943.9,EB Vehicles,EB,11.9,-
773,3944.9,WB Vehicles,WB,3.6,-
774,3948.9,WB Vehicles,WB,4.0,-
775,3951.2,EB Vehicles,EB,7.3,-
776,3952.7,WB Vehicles,WB,3.8,-
777,3956.0,Posers,Poser,35.9,9.4
778,3966.6,Posers,Poser,10.6,4.9
779,3968.9,WB Vehicles,WB,16.2,-
780,3976.1,WB Vehicles,WB,7.2,-
781,3979.8,WB Vehicles,WB,3.7,-
782,3983.4,WB Vehicles,WB,3.6,-
783,3986.2,WB Vehicles,WB,2.8,-
784,3988.0,EB Vehicles,EB,36.8,-
785,3990.7,WB Vehicles,WB,4.5,-
786,3992.5,EB Vehicles,EB,4.5,-
787,3993.7,WB Vehicles,WB,3.0,-
788,3996.9,WB Vehicles,WB,3.2,-
789,3998.7,Posers,Poser,32.1,11.6
790,3999.2,WB Vehicles,WB,2.3,-
791,4013.8,WB Vehicles,WB,14.6,-
792,4016.3,WB Vehicles,WB,2.5,-
793,4018.8,Posers,Poser,20.1,17.1
794,4019.0,WB Vehicles,WB,2.7,-
795,4024.5,WB Vehicles,WB,5.5,-
796,4036.3,WB Vehicles,WB,11.8,-
797,4039.4,WB Vehicles,WB,3.1,-
798,4043.5,WB Vehicles,WB,4.1,-
799,4046.0,WB Vehicles,WB,2.5,-
800,4051.3,Posers,Poser,32.5,8.9
801,4058.9,WB Vehicles,WB,12.9,-
802,4060.3,EB Vehicles,EB,67.8,-
803,4064.0,WB Vehicles,WB,5.1,-
804,4065.8,Posers,Poser,14.5,6.4
805,4069.4,EB Vehicles,EB,9.1,-
806,4073.2,EB Vehicles,EB,3.8,-
807,4079.0,EB Vehicles,EB,5.8,-
808,4080.3,Posers,Poser,14.5,15.3
809,4098.2,EB Vehicles,EB,19.2,-
810,4100.3,Posers,Poser,20.0,8.1
811,4110.9,EB Vehicles,EB,12.7,-
812,4113.4,Posers,Poser,13.1,6.8
813,4117.6,EB Vehicles,EB,6.7,-
814,4121.6,EB Vehicles,EB,4.0,-
815,4127.0,Crossers,Crosser,233.5,2.5
816,4130.4,EB Vehicles,EB,8.8,-
817,4131.6,WB Vehicles,WB,67.6,-
818,4132.5,EB Vehicles,EB,2.1,-
819,4133.9,WB Vehicles,WB,2.3,-
820,4135.8,EB Vehicles,EB,3.3,-
821,4136.9,WB Vehicles,WB,3.0,-
822,4139.1,EB Vehicles,EB,3.3,-
823,4140.3,WB Vehicles,WB,3.4,-
