ID,Time (s),Entity,Type/Dir,Inter-Arrival (s),Service Time (s)
125,1895.6,EB Vehicles,EB,13.1,-
126,1898.7,EB Vehicles,EB,3.1,-
127,1901.7,EB Vehicles,EB,3,-
128,1940.6,EB Vehicles,EB,38.9,-
129,1962.6,EB Vehicles,EB,22,-
130,1965.5,EB Vehicles,EB,2.9,-
131,1977.7,EB Vehicles,EB,12.3,-
132,2046.6,EB Vehicles,EB,68.8,-
133,2055.3,EB Vehicles,EB,8.8,-
134,2057.6,EB Vehicles,EB,2.2,-
135,2070.1,EB Vehicles,EB,12.6,-
136,2073,EB Vehicles,EB,2.8,-
137,2149.5,EB Vehicles,EB,76.5,-
138,2186.8,EB Vehicles,EB,37.3,-
139,2219.5,EB Vehicles,EB,32.8,-
140,2229.9,EB Vehicles,EB,10.4,-
141,2232.6,EB Vehicles,EB,2.7,-
142,2237.6,EB Vehicles,EB,5,-
143,2244.4,EB Vehicles,EB,6.7,-
144,2255.8,EB Vehicles,EB,11.5,-
145,2258.4,EB Vehicles,EB,2.6,-
146,2261.2,EB Vehicles,EB,2.8,-
147,2264.8,EB Vehicles,EB,3.6,-
148,2268,EB Vehicles,EB,3.2,-
149,2333.7,EB Vehicles,EB,65.7,-
150,2341,EB Vehicles,EB,7.2,-
151,2346.8,EB Vehicles,EB,5.8,-
152,2377.8,EB Vehicles,EB,31,-
153,2403.8,EB Vehicles,EB,26,-
154,2439.8,EB Vehicles,EB,36,-
155,2457.8,EB Vehicles,EB,18,-
156,2467.3,EB Vehicles,EB,9.6,-
157,2470.7,EB Vehicles,EB,3.4,-
158,2485.6,EB Vehicles,EB,14.9,-
159,2496,EB Vehicles,EB,10.4,-
160,2568.7,EB Vehicles,EB,72.7,-
161,2619.9,EB Vehicles,EB,51.3,-
162,2622.5,EB Vehicles,EB,2.5,-
163,2625.1,EB Vehicles,EB,2.6,-
164,2627.7,EB Vehicles,EB,2.7,-
165,2629.9,EB Vehicles,EB,2.1,-
166,2637.2,EB Vehicles,EB,7.3,-
167,2664.7,EB Vehicles,EB,27.5,-
168,2744.7,EB Vehicles,EB,80,-
169,2747.5,EB Vehicles,EB,2.7,-
170,2759.3,EB Vehicles,EB,11.9,-
171,2776.1,EB Vehicles,EB,16.8,-
172,2802.1,EB Vehicles,EB,26,-
173,2810.5,EB Vehicles,EB,8.4,-
174,2813.7,EB Vehicles,EB,3.3,-
175,2824,EB Vehicles,EB,10.3,-
176,2841.5,EB Vehicles,EB,17.4,-
177,2905.4,EB Vehicles,EB,63.9,-
178,2925.7,EB Vehicles,EB,20.3,-
179,2971.1,EB Vehicles,EB,45.4,-
180,2977.9,EB Vehicles,EB,6.8,-
181,2981.8,EB Vehicles,EB,3.9,-
182,3006.1,EB Vehicles,EB,24.3,-
183,3016.9,EB Vehicles,EB,10.8,-
184,3068.8,EB Vehicles,EB,51.9,-
185,3110.1,EB Vehicles,EB,41.3,-
186,3115.8,EB Vehicles,EB,5.7,-
187,3181.8,EB Vehicles,EB,66,-
188,3201.8,EB Vehicles,EB,20,-
189,3206.4,EB Vehicles,EB,4.6,-
190,3209.8,EB Vehicles,EB,3.4,-
191,3220.5,EB Vehicles,EB,10.7,-
192,3227.4,EB Vehicles,EB,6.9,-
193,3232.8,EB Vehicles,EB,5.4,-
194,3237.1,EB Vehicles,EB,4.3,-
195,3260.2,EB Vehicles,EB,23.1,-
196,3295.5,EB Vehicles,EB,35.3,-
197,3330.7,EB Vehicles,EB,35.2,-
198,3349.4,EB Vehicles,EB,18.6,-
199,3379.1,EB Vehicles,EB,29.7,-
200,3385.9,EB Vehicles,EB,6.7,-
201,3395.4,EB Vehicles,EB,9.5,-
202,3398.2,EB Vehicles,EB,2.8,-
203,3402,EB Vehicles,EB,3.9,-
204,3407.9,EB Vehicles,EB,5.8,-
205,3516.2,EB Vehicles,EB,108.3,-
206,3569.1,EB Vehicles,EB,52.9,-
207,3571.4,EB Vehicles,EB,2.2,-
208,3583,EB Vehicles,EB,11.6,-
209,3586.6,EB Vehicles,EB,3.6,-
210,3590.5,EB Vehicles,EB,3.9,-
