ID,Time (s),Entity,Type/Dir,Inter-Arrival (s),Service Time (s)
496,5237.5,WB Vehicles,WB,4.3,-
497,5243.2,WB Vehicles,WB,5.6,-
498,5313.2,WB Vehicles,WB,70.0,-
499,5319.2,WB Vehicles,WB,6.0,-
500,5336.1,WB Vehicles,WB,17.0,-
501,5339.3,WB Vehicles,WB,3.2,-
502,5344.9,WB Vehicles,WB,5.5,-
503,5353.7,WB Vehicles,WB,8.8,-
504,5358.3,WB Vehicles,WB,4.6,-
505,5360.5,WB Vehicles,WB,2.2,-
506,5364.6,WB Vehicles,WB,4.0,-
